intervention,parameter,mean,se_mean,sd,2.5%,97.5%
Uganda DSW,lp__,-4.654783024623336,0.01770418056965959,1.7334205131357099,-8.937816615020015,-2.381015843575203
Malawi DSW,mortality_effect,0.8990762551406593,8.118170064075944e-4,0.05740169970980085,0.7695748668352178,0.9907684436643199
Malawi DSW,morbidity_effect,0.7222785787857892,9.852945963383932e-4,0.11859219816085602,0.4897844670923587,0.9587026068546454
Malawi DSW,internal_validity_morbidity,0.9024878750282781,3.5501611006732265e-4,0.0498668082528784,0.8039216296784331,1.0001036666408
Malawi DSW,mortality_morbidity_scaling,1.0333757153257828,0.0016607326306653145,0.17674099926308934,0.7315854131933597,1.4265941150797148
Malawi DSW,frac_of_deaths_impacted_base,0.37957868826339947,0.001443590219454786,0.12812567165099656,0.14233461563161023,0.641166287563575
Malawi DSW,morbidity_effect_size,0.21273033207029424,7.647875535312498e-4,0.09161187104201918,0.03128296864700099,0.392146727869897
Malawi DSW,mu_indirect,0.08606409899274829,6.979124541596992e-4,0.049044339869311886,0.008763203208090693,0.19800010552874497
Malawi DSW,mu_direct,0.08663294258725808,6.968637183002802e-4,0.04927361903089309,0.007924367958547588,0.19779693430864903
Malawi DSW,mu_combined,0.08634852079000319,6.973801758943879e-4,0.04903244451771649,0.009118744002333604,0.19757983178974667
Malawi DSW,diarrhea_rr_adjusted,0.7817528831401532,7.742928290093233e-4,0.09319556704527626,0.5990476047999385,0.967546482556528
Malawi DSW,mills_reincke_factor,3.786970275730625,0.014493443838953471,1.257891649436409,1.431217917393881,6.329914478428883
Malawi DSW,frac_other_infections_impacted,0.43002369671717733,0.004456193180334976,0.38675474594612214,-0.2942822522639709,1.211884153069179
Malawi DSW,lp__,-4.858437572377079,0.01952339408463437,1.733456842692784,-9.233549881718345,-2.6040679249020418
