intervention,parameter,mean,se_mean,sd,2.5%,97.5%
Malawi DSW,morbidity_effect,0.7228100477587799,0.0011251806089110385,0.12094489474028255,0.48890393358463763,0.9674466280521614
Malawi DSW,internal_validity_morbidity,0.9020692763543967,4.5755273585158926e-4,0.050017323022662506,0.8036457618164538,0.9995143198700759
Malawi DSW,mortality_morbidity_scaling,1.0362090432266713,0.00239877065262903,0.17764410387579455,0.733457459981697,1.4292677213439773
Malawi DSW,frac_of_deaths_impacted_base,0.37881621290322287,0.0014621773766594088,0.1284934474770141,0.14528364293919502,0.6418231215708217
Malawi DSW,morbidity_effect_size,0.21220996551367927,8.87820320924939e-4,0.09345297416491025,0.02486327386961775,0.39442073533347316
Malawi DSW,mu_indirect,0.08612715720353281,9.589625445717406e-4,0.05032353898976793,0.007334661463512013,0.20341998165738703
Malawi DSW,mu_direct,0.08662372137687405,9.639471637774984e-4,0.050587746455908765,0.006731832928432668,0.20460042618376656
Malawi DSW,mu_combined,0.08637543929020343,9.618125281784035e-4,0.050330571362931335,0.007411980799802177,0.2038472493680665
Malawi DSW,mills_reincke_factor,3.7799202601792077,0.014883390970988643,1.2622310812702953,1.4647816327966532,6.341237741024054
Malawi DSW,frac_et_else_impacted,0.42785607999539815,0.004576087373169655,0.3880889593159416,-0.2839626621550589,1.215365633807396
Malawi DSW,lp__,-4.936097865778951,0.01914705578006021,1.6919950682559446,-9.060174211320335,-2.6846072741755043
